year,key1,key2,trip,trip_volume
2016,목적,귀가,서울-서울,9509213
2016,목적,출근,서울-서울,4407622
2016,목적,등교,서울-서울,1366893
2016,목적,학원,서울-서울,819915
2016,목적,업무,서울-서울,1201439
2016,목적,쇼핑,서울-서울,1053838
2016,목적,여가,서울-서울,815587
2016,목적,배웅,서울-서울,142856
2016,목적,귀사,서울-서울,875722
2016,목적,기타,서울-서울,2074531
2016,목적,귀가,서울-비서울,2375257
2016,목적,출근,서울-비서울,803252
2016,목적,등교,서울-비서울,137891
2016,목적,학원,서울-비서울,7386
2016,목적,업무,서울-비서울,296332
2016,목적,쇼핑,서울-비서울,32135
2016,목적,여가,서울-비서울,94027
2016,목적,배웅,서울-비서울,7828
2016,목적,귀사,서울-비서울,118130
2016,목적,기타,서울-비서울,177388
2016,목적,귀가,비서울-서울,1246517
2016,목적,출근,비서울-서울,1554255
2016,목적,등교,비서울-서울,221092
2016,목적,학원,비서울-서울,90091
2016,목적,업무,비서울-서울,266801
2016,목적,쇼핑,비서울-서울,90363
2016,목적,여가,비서울-서울,48685
2016,목적,배웅,비서울-서울,21002
2016,목적,귀사,비서울-서울,139537
2016,목적,기타,비서울-서울,321121
2017,목적,귀가,서울-서울,9474616
2017,목적,출근,서울-서울,4392754
2017,목적,등교,서울-서울,1321891
2017,목적,학원,서울-서울,793490
2017,목적,업무,서울-서울,1183409
2017,목적,쇼핑,서울-서울,1030624
2017,목적,여가,서울-서울,846285
2017,목적,배웅,서울-서울,138695
2017,목적,귀사,서울-서울,876406
2017,목적,기타,서울-서울,2068756
2017,목적,귀가,서울-비서울,2361705
2017,목적,출근,서울-비서울,812658
2017,목적,등교,서울-비서울,124570
2017,목적,학원,서울-비서울,6265
2017,목적,업무,서울-비서울,296135
2017,목적,쇼핑,서울-비서울,30382
2017,목적,여가,서울-비서울,93878
2017,목적,배웅,서울-비서울,7274
2017,목적,귀사,서울-비서울,119106
2017,목적,기타,서울-비서울,174264
2017,목적,귀가,비서울-서울,1251112
2017,목적,출근,비서울-서울,1535292
2017,목적,등교,비서울-서울,220456
2017,목적,학원,비서울-서울,74828
2017,목적,업무,비서울-서울,276069
2017,목적,쇼핑,비서울-서울,83403
2017,목적,여가,비서울-서울,53182
2017,목적,배웅,비서울-서울,20149
2017,목적,귀사,비서울-서울,154673
2017,목적,기타,비서울-서울,310125
2018,목적,귀가,서울-서울,9414135
2018,목적,출근,서울-서울,4403761
2018,목적,등교,서울-서울,1283002
2018,목적,학원,서울-서울,759442
2018,목적,업무,서울-서울,1183619
2018,목적,쇼핑,서울-서울,990613
2018,목적,여가,서울-서울,835418
2018,목적,배웅,서울-서울,130521
2018,목적,귀사,서울-서울,887862
2018,목적,기타,서울-서울,2023556
2018,목적,귀가,서울-비서울,2401820
2018,목적,출근,서울-비서울,829399
2018,목적,등교,서울-비서울,119120
2018,목적,학원,서울-비서울,6277
2018,목적,업무,서울-비서울,295966
2018,목적,쇼핑,서울-비서울,29005
2018,목적,여가,서울-비서울,84365
2018,목적,배웅,서울-비서울,7871
2018,목적,귀사,서울-비서울,121904
2018,목적,기타,서울-비서울,163934
2018,목적,귀가,비서울-서울,1245604
2018,목적,출근,비서울-서울,1565401
2018,목적,등교,비서울-서울,217067
2018,목적,학원,비서울-서울,69145
2018,목적,업무,비서울-서울,282221
2018,목적,쇼핑,비서울-서울,78879
2018,목적,여가,비서울-서울,52013
2018,목적,배웅,비서울-서울,19270
2018,목적,귀사,비서울-서울,162967
2018,목적,기타,비서울-서울,312605
2019,목적,귀가,서울-서울,9366513
2019,목적,출근,서울-서울,4483915
2019,목적,등교,서울-서울,1243841
2019,목적,학원,서울-서울,729146
2019,목적,업무,서울-서울,1181250
2019,목적,쇼핑,서울-서울,945046
2019,목적,여가,서울-서울,840821
2019,목적,배웅,서울-서울,126111
2019,목적,귀사,서울-서울,893694
2019,목적,기타,서울-서울,1917003
2019,목적,귀가,서울-비서울,2450486
2019,목적,출근,서울-비서울,851391
2019,목적,등교,서울-비서울,124597
2019,목적,학원,서울-비서울,6962
2019,목적,업무,서울-비서울,304814
2019,목적,쇼핑,서울-비서울,27902
2019,목적,여가,서울-비서울,82021
2019,목적,배웅,서울-비서울,7276
2019,목적,귀사,서울-비서울,126822
2019,목적,기타,서울-비서울,161062
2019,목적,귀가,비서울-서울,1238958
2019,목적,출근,비서울-서울,1588109
2019,목적,등교,비서울-서울,225533
2019,목적,학원,비서울-서울,71054
2019,목적,업무,비서울-서울,286688
2019,목적,쇼핑,비서울-서울,77735
2019,목적,여가,비서울-서울,52495
2019,목적,배웅,비서울-서울,17772
2019,목적,귀사,비서울-서울,161244
2019,목적,기타,비서울-서울,306779
2020,목적,귀가,서울-서울,8365445
2020,목적,출근,서울-서울,3919414
2020,목적,등교,서울-서울,1123716
2020,목적,학원,서울-서울,644674
2020,목적,업무,서울-서울,1031907
2020,목적,쇼핑,서울-서울,878819
2020,목적,여가,서울-서울,794635
2020,목적,배웅,서울-서울,123182
2020,목적,귀사,서울-서울,820477
2020,목적,기타,서울-서울,1722961
2020,목적,귀가,서울-비서울,2087137
2020,목적,출근,서울-비서울,736087
2020,목적,등교,서울-비서울,86861
2020,목적,학원,서울-비서울,5521
2020,목적,업무,서울-비서울,261654
2020,목적,쇼핑,서울-비서울,24317
2020,목적,여가,서울-비서울,71207
2020,목적,배웅,서울-비서울,6499
2020,목적,귀사,서울-비서울,114162
2020,목적,기타,서울-비서울,137216
2020,목적,귀가,비서울-서울,1076856
2020,목적,출근,비서울-서울,1401199
2020,목적,등교,비서울-서울,169804
2020,목적,학원,비서울-서울,56032
2020,목적,업무,비서울-서울,239557
2020,목적,쇼핑,비서울-서울,68632
2020,목적,여가,비서울-서울,42186
2020,목적,배웅,비서울-서울,16509
2020,목적,귀사,비서울-서울,143447
2020,목적,기타,비서울-서울,253541
2016,수단,승용차,서울-서울,4300673
2016,수단,버스,서울-서울,6625783
2016,수단,지하철·철도(환승 미포함),서울-서울,5300594
2016,수단,택시,서울-서울,1909187
2016,수단,도보,서울-서울,6860491
2016,수단,오토바이/기타,서울-서울,1109334
2016,수단,승용차,서울-비서울,1792146
2016,수단,버스,서울-비서울,915159
2016,수단,지하철·철도(환승 미포함),서울-비서울,1060646
2016,수단,택시,서울-비서울,113242
2016,수단,도보,서울-비서울,11455
2016,수단,오토바이/기타,서울-비서울,328761
2016,수단,승용차,비서울-서울,1764961
2016,수단,버스,비서울-서울,888782
2016,수단,지하철·철도(환승 미포함),비서울-서울,1112512
2016,수단,택시,비서울-서울,99238
2016,수단,도보,비서울-서울,11321
2016,수단,오토바이/기타,비서울-서울,307261
2017,수단,승용차,서울-서울,4288308
2017,수단,버스,서울-서울,6402065
2017,수단,지하철·철도(환승 미포함),서울-서울,5347145
2017,수단,택시,서울-서울,1899072
2017,수단,도보,서울-서울,6803081
2017,수단,오토바이/기타,서울-서울,1119225
2017,수단,승용차,서울-비서울,1801065
2017,수단,버스,서울-비서울,856140
2017,수단,지하철·철도(환승 미포함),서울-비서울,1070895
2017,수단,택시,서울-비서울,114442
2017,수단,도보,서울-비서울,12625
2017,수단,오토바이/기타,서울-비서울,329818
2017,수단,승용차,비서울-서울,1775975
2017,수단,버스,비서울-서울,842398
2017,수단,지하철·철도(환승 미포함),비서울-서울,1119677
2017,수단,택시,비서울-서울,93604
2017,수단,도보,비서울-서울,11318
2017,수단,오토바이/기타,비서울-서울,307510
2018,수단,승용차,서울-서울,4236892
2018,수단,버스,서울-서울,6248767
2018,수단,지하철·철도(환승 미포함),서울-서울,5457357
2018,수단,택시,서울-서울,1822793
2018,수단,도보,서울-서울,6664385
2018,수단,오토바이/기타,서울-서울,1131486
2018,수단,승용차,서울-비서울,1831027
2018,수단,버스,서울-비서울,818377
2018,수단,지하철·철도(환승 미포함),서울-비서울,1103283
2018,수단,택시,서울-비서울,114988
2018,수단,도보,서울-비서울,15039
2018,수단,오토바이/기타,서울-비서울,335056
2018,수단,승용차,비서울-서울,1813037
2018,수단,버스,비서울-서울,804514
2018,수단,지하철·철도(환승 미포함),비서울-서울,1140550
2018,수단,택시,비서울-서울,95025
2018,수단,도보,비서울-서울,13298
2018,수단,오토바이/기타,비서울-서울,310858
2019,수단,승용차,서울-서울,4199929
2019,수단,버스,서울-서울,6134579
2019,수단,지하철·철도(환승 미포함),서울-서울,5524986
2019,수단,택시,서울-서울,1624667
2019,수단,도보,서울-서울,6675298
2019,수단,오토바이/기타,서울-서울,1184197
2019,수단,승용차,서울-비서울,1856915
2019,수단,버스,서울-비서울,791761
2019,수단,지하철·철도(환승 미포함),서울-비서울,1185569
2019,수단,택시,서울-비서울,101057
2019,수단,도보,서울-비서울,18104
2019,수단,오토바이/기타,서울-비서울,349174
2019,수단,승용차,비서울-서울,1823022
2019,수단,버스,비서울-서울,793293
2019,수단,지하철·철도(환승 미포함),비서울-서울,1143665
2019,수단,택시,비서울-서울,100429
2019,수단,도보,비서울-서울,16799
2019,수단,오토바이/기타,비서울-서울,321070
2020,수단,승용차,서울-서울,3995032
2020,수단,버스,서울-서울,4688028
2020,수단,지하철·철도(환승 미포함),서울-서울,4310091
2020,수단,택시,서울-서울,1261818
2020,수단,도보,서울-서울,6745017
2020,수단,오토바이/기타,서울-서울,1183378
2020,수단,승용차,서울-비서울,1795904
2020,수단,버스,서울-비서울,539181
2020,수단,지하철·철도(환승 미포함),서울-비서울,913577
2020,수단,택시,서울-비서울,75304
2020,수단,도보,서울-비서울,16682
2020,수단,오토바이/기타,서울-비서울,300239
2020,수단,승용차,비서울-서울,1767704
2020,수단,버스,비서울-서울,519295
2020,수단,지하철·철도(환승 미포함),비서울-서울,942143
2020,수단,택시,비서울-서울,74424
2020,수단,도보,비서울-서울,14841
2020,수단,오토바이/기타,비서울-서울,266734
