year,gu_nm,lot_ct,area_total,jiga_total,jiga_avg,jiga_year_avg
2013,중구,36905,9853374.6,58625096699600 ,5949748,2061661
2013,강남구,32958,34727597,164567351532500 ,4738806,2061661
2013,용산구,39604,15402196.5,56068379997900 ,3640285,2061661
2013,송파구,32440,33958680.1,115473004997400 ,3400397,2061661
2013,서초구,31357,43942219.7,109236572542940 ,2485914,2061661
2013,성동구,33279,14043887.1,32307792504000 ,2300488,2061661
2013,동대문구,46567,14196894.1,31782223209000 ,2238674,2061661
2013,종로구,49342,23479788.9,51911536722010 ,2210903,2061661
2013,양천구,24546,17401195.3,38458656712930 ,2210116,2061661
2013,마포구,47232,21265867.8,45940471306000 ,2160291,2061661
2013,영등포구,44350,23986549.7,51246052782400 ,2136450,2061661
2013,강동구,30167,24353429.9,50875907742540 ,2089065,2061661
2013,동작구,41564,16350826,33057911763040 ,2021788,2061661
2013,광진구,31267,16801112.3,32388000496940 ,1927730,2061661
2013,서대문구,43479,15790414.1,27826234493610 ,1762223,2061661
2013,구로구,36603,19957288.8,32544711204680 ,1630718,2061661
2013,성북구,59717,24513362.7,36580248744000 ,1492257,2061661
2013,금천구,20265,12994356.3,18958040080080 ,1458944,2061661
2013,강서구,43822,40768928.1,51521773291840 ,1263751,2061661
2013,중랑구,40712,18438183.8,21707286501520 ,1177301,2061661
2013,은평구,51327,28109787.5,32068454701980 ,1140829,2061661
2013,관악구,46273,29539679.7,32845421763300 ,1111909,2061661
2013,노원구,20990,35362096.8,32253604216210 ,912095,2061661
2013,도봉구,23481,20614961.7,17667050660270 ,857001,2061661
2013,강북구,42437,23550741.3,18621700547410 ,790705,2061661
2014,중구,36665,9952738.9,61287073497200 ,6157810,2136316
2014,강남구,32733,34890630.8,171040258681170 ,4902183,2136316
2014,용산구,39245,15433691.9,56428440320720 ,3656185,2136316
2014,송파구,31974,34277583.9,123556164015840 ,3604576,2136316
2014,서초구,31334,43912870.7,113078076311340 ,2575055,2136316
2014,성동구,32199,13777004.3,32898769386960 ,2387948,2136316
2014,양천구,24306,17403324.8,39790293423810 ,2286362,2136316
2014,동대문구,46575,14199210.5,32294242982830 ,2274369,2136316
2014,종로구,48904,23495182.3,53268382129910 ,2267204,2136316
2014,마포구,46910,21263176.2,47572092825520 ,2237299,2136316
2014,영등포구,44376,24441917.8,53972384923580 ,2208189,2136316
2014,강동구,30174,24353728.9,52527546782500 ,2156858,2136316
2014,동작구,40404,16352879.5,34412517752060 ,2104371,2136316
2014,광진구,31118,16772832.8,33499354350500 ,1997239,2136316
2014,서대문구,43656,15906477.7,28980127511850 ,1821907,2136316
2014,구로구,36446,19962003.4,33227023605490 ,1664513,2136316
2014,성북구,59711,24517896.6,37506853174140 ,1529775,2136316
2014,금천구,20318,13024289.6,19858774747300 ,1524749,2136316
2014,강서구,43876,40767333.4,53306471030420 ,1307578,2136316
2014,중랑구,39913,18432816.9,22990243831030 ,1247245,2136316
2014,은평구,51100,28109647.8,33134316197310 ,1178752,2136316
2014,관악구,46274,29540904.5,34109704394530 ,1154660,2136316
2014,노원구,21015,35325215.8,33337109878940 ,943720,2136316
2014,도봉구,23417,20615844.2,18333412412060 ,889287,2136316
2014,강북구,41515,23560550.1,19272940048190 ,818017,2136316
2015,중구,36503,9952824.1,63242720590790 ,6354249,2230713
2015,강남구,32838,34849093,179398086121320 ,5147855,2230713
2015,용산구,39152,15444675.7,59546674884300 ,3855482,2230713
2015,송파구,31797,33978970.5,127246654688140 ,3744865,2230713
2015,서초구,31245,43941504.8,120757428566610 ,2748140,2230713
2015,성동구,31863,13804081.6,34104977508100 ,2470644,2230713
2015,양천구,24231,17403662.3,41678119410070 ,2394790,2230713
2015,마포구,46652,21274105.6,50247109821780 ,2361891,2230713
2015,종로구,48584,23502612.8,55343558770690 ,2354783,2230713
2015,동대문구,46433,14208944.9,33151214936220 ,2333123,2230713
2015,영등포구,43711,24442154.4,56688601244980 ,2319296,2230713
2015,강동구,30167,24579947.7,54493828890610 ,2217003,2230713
2015,동작구,40318,16352443,36243872798730 ,2216419,2230713
2015,광진구,31161,16781809.6,35172414199930 ,2095865,2230713
2015,서대문구,41283,15979299.1,30111465820260 ,1884405,2230713
2015,구로구,36087,20054895.81,34594095384080 ,1724970,2230713
2015,금천구,20259,13031840.8,20628889544860 ,1582961,2230713
2015,성북구,59189,24519331.1,38542757312640 ,1571933,2230713
2015,강서구,43752,40771728,55333275045630 ,1357148,2230713
2015,중랑구,39926,18432881.7,23971542867980 ,1300477,2230713
2015,은평구,50651,28110155,34589713624190 ,1230506,2230713
2015,관악구,46185,29539900.9,35645046150800 ,1206675,2230713
2015,노원구,20915,35192660.4,34660142712280 ,984869,2230713
2015,도봉구,23168,20621271.6,19108322871470 ,926632,2230713
2015,강북구,41285,23560187.1,20051220220320 ,851064,2230713
2016,중구,36546,9953246.4,64666558016540 ,6497032,2313571
2016,강남구,33252,37281973.5,191978412987010 ,5149363,2313571
2016,용산구,39037,15454058.4,62732127599120 ,4059266,2313571
2016,송파구,31736,33978385.5,132721315783330 ,3906051,2313571
2016,서초구,31278,43946397.9,126990619726350 ,2889671,2313571
2016,성동구,31870,13802243.9,35324872418940 ,2559357,2313571
2016,양천구,24222,17403662.3,43276235263690 ,2486617,2313571
2016,마포구,44373,21439352.5,53173597012220 ,2480187,2313571
2016,종로구,48275,23536866,57397033163230 ,2438601,2313571
2016,동대문구,46203,14211846.8,34159554781910 ,2403597,2313571
2016,영등포구,42669,24448820.9,58644067915920 ,2398646,2313571
2016,동작구,40259,16378768.3,38129316915180 ,2327972,2313571
2016,강동구,29986,24583660.7,56693844844130 ,2306160,2313571
2016,광진구,33469,17059948.4,36795054646660 ,2156809,2313571
2016,서대문구,43814,16308951.9,32101912357570 ,1968361,2313571
2016,구로구,36098,20059892.01,35744380128660 ,1781883,2313571
2016,금천구,20231,13031846.9,21252154004640 ,1630786,2313571
2016,성북구,58770,24510706.3,39831490604540 ,1625065,2313571
2016,중랑구,39708,18441691.7,24963378936460 ,1353638,2313571
2016,강서구,43236,40779256.7,54659203294970 ,1340368,2313571
2016,은평구,50268,28116180.7,36111520165350 ,1284368,2313571
2016,관악구,46024,29541813.2,36872401062200 ,1248143,2313571
2016,노원구,20918,35309899.9,35765378076120 ,1012899,2313571
2016,도봉구,23065,20623213.6,19962226395930 ,967949,2313571
2016,강북구,41160,23563507.7,20638082376510 ,875849,2313571
2017,중구,36322,9953627.6,68292119726980 ,6861028,2429279
2017,강남구,33253,37268329.3,203848046308460 ,5469739,2429279
2017,용산구,39043,15523956.3,67076834425310 ,4320860,2429279
2017,송파구,31728,33868852.4,138762138281360 ,4097043,2429279
2017,서초구,31140,43931863.5,132787834610960 ,3022586,2429279
2017,마포구,43533,21439843.1,60346066861250 ,2814669,2429279
2017,성동구,30618,13985369.5,36984133060120 ,2644487,2429279
2017,양천구,23592,17407105.4,45316656299560 ,2603342,2429279
2017,종로구,47966,23538260.7,60230500466390 ,2558834,2429279
2017,영등포구,42556,24447153.3,61022698864120 ,2496107,2429279
2017,동대문구,43111,14213075.6,35309964235230 ,2484330,2429279
2017,동작구,39906,16353159.9,40219237997580 ,2459417,2429279
2017,강동구,30029,24583790.8,58890383261530 ,2395496,2429279
2017,광진구,33300,17062670.2,38555919139980 ,2259665,2429279
2017,서대문구,44028,17600490.1,34570916730550 ,1964202,2429279
2017,구로구,35465,20067190.31,37917810964540 ,1889543,2429279
2017,금천구,20152,13028019.8,21939462609630 ,1684021,2429279
2017,성북구,58486,24513148.5,41103725370280 ,1676803,2429279
2017,중랑구,39557,18410747.8,26235114601866 ,1424989,2429279
2017,강서구,43193,41386603.8,57246007255320 ,1383201,2429279
2017,은평구,49700,28115255.4,38214375643368 ,1359204,2429279
2017,관악구,45980,29540744.5,38313119891780 ,1296959,2429279
2017,노원구,20802,35311645.3,37251090020364 ,1054924,2429279
2017,도봉구,23028,20632592.9,20880837227780 ,1012032,2429279
2017,강북구,41011,23563492.5,21628129469200 ,917866,2429279
2018,중구,36174,9952530.2,73143239783920 ,7349211,2582563
2018,강남구,33264,37282377.1,219668927000710 ,5892031,2582563
2018,용산구,39043,15535197.5,72608747305220 ,4673822,2582563
2018,송파구,31724,33845675.1,146113045635270 ,4317037,2582563
2018,서초구,31979,44367283.8,145999790659370 ,3290708,2582563
2018,마포구,43363,21558546.6,67448807866530 ,3128634,2582563
2018,양천구,23561,17406827.4,47701480470870 ,2740389,2582563
2018,종로구,48028,23547342,64220202056480 ,2727280,2582563
2018,영등포구,42070,24484678,64582307730260 ,2637662,2582563
2018,동대문구,43070,14212886.6,36997067122440 ,2603065,2582563
2018,동작구,39718,16353378.1,42541372702730 ,2601381,2582563
2018,강동구,30091,24582922.7,61882016896510 ,2517277,2582563
2018,성동구,28638,16792497.9,41110825072520 ,2448166,2582563
2018,광진구,33206,17062982.1,40626094627220 ,2380949,2582563
2018,서대문구,44150,17607792.5,36896909229260 ,2095488,2582563
2018,구로구,35487,20078413.51,39713924303370 ,1977941,2582563
2018,금천구,20029,13009831.3,23148507813790 ,1779309,2582563
2018,성북구,57978,24521354,43589586840770 ,1777617,2582563
2018,중랑구,38423,18451499.1,28354724661640 ,1536717,2582563
2018,강서구,43149,41528395.9,61001116458220 ,1468901,2582563
2018,은평구,49784,28665477,41297863882414 ,1440683,2582563
2018,관악구,45910,29540781.4,40707498122660 ,1378010,2582563
2018,노원구,20797,35317991.2,39471970572160 ,1117617,2582563
2018,도봉구,22696,20645463.6,21701503394640 ,1051151,2582563
2018,강북구,40787,23567136,22975906559060 ,974913,2582563
2019,중구,35959,9952612.3,87488528764800 ,8790509,2891042
2019,강남구,33380,37284536,260630789576432 ,6990319,2891042
2019,용산구,38738,15546134.8,80315939395720 ,5166296,2891042
2019,송파구,30885,33810254.5,159345756197350 ,4712942,2891042
2019,서초구,32545,44994205.9,169716361552380 ,3771960,2891042
2019,마포구,43286,21557214.2,75454500110490 ,3500197,2891042
2019,영등포구,40200,24506984.2,77009039353280 ,3142330,2891042
2019,종로구,46562,23551033.4,70896316158870 ,3010327,2891042
2019,양천구,23544,17406920.2,51506989414720 ,2958995,2891042
2019,동작구,39738,16384199.5,46851775931180 ,2859571,2891042
2019,성동구,28062,16795357.3,47184360140430 ,2809369,2891042
2019,동대문구,43089,14212987.4,39580279974630 ,2784797,2891042
2019,강동구,30112,24582835.5,67736124145480 ,2755424,2891042
2019,광진구,33103,17062977.9,43722471471820 ,2562417,2891042
2019,서대문구,44021,17615373.7,39992933084880 ,2270343,2891042
2019,구로구,35521,20084029.01,42419941768660 ,2112123,2891042
2019,성북구,57495,24521850.4,46917883816820 ,1913309,2891042
2019,금천구,19989,13007497.2,24533221639500 ,1886083,2891042
2019,중랑구,38297,18451490.4,30389380371690 ,1646988,2891042
2019,강서구,43166,41537919.4,65903157486510 ,1586578,2891042
2019,은평구,49129,28664325.5,44330743186170 ,1546548,2891042
2019,관악구,45894,29540822.3,44940224479590 ,1521292,2891042
2019,노원구,20763,35318759.9,42715284319482 ,1209422,2891042
2019,도봉구,22630,20644534.6,23285609249380 ,1127931,2891042
2019,강북구,40765,23567123.9,24587295040770 ,1043288,2891042
2020,중구,35721,9954627.1,92247135951590 ,9266760,3117671
2020,강남구,32953,37218563.3,285115777158710 ,7660580,3117671
2020,용산구,38619,15550212.1,86490811932270 ,5562034,3117671
2020,송파구,30920,33810325.5,171841373068560 ,5082512,3117671
2020,서초구,32685,44999297,188815754084440 ,4195971,3117671
2020,마포구,43164,21569201.2,81977205906630 ,3800660,3117671
2020,영등포구,39875,24507388.6,83293643097440 ,3398716,3117671
2020,양천구,23434,17405805.8,55269607854980 ,3175355,3117671
2020,종로구,46693,23552320.5,73966689011390 ,3140527,3117671
2020,동작구,39162,16387289.57,51240127645220 ,3126821,3117671
2020,성동구,26671,16789827.1,51425795664450 ,3062914,3117671
2020,동대문구,41794,14213143.2,42034065863310 ,2957408,3117671
2020,강동구,30313,24583510,72129193889380 ,2934048,3117671
2020,광진구,32775,17210785.4,47093828044310 ,2736297,3117671
2020,서대문구,42557,17614840.1,43469028139300 ,2467750,3117671
2020,구로구,35450,20058412.3,44494777332920 ,2218260,3117671
2020,성북구,56946,24522859,49810007292980 ,2031166,3117671
2020,금천구,19938,13008190.1,26235420257890 ,2016839,3117671
2020,중랑구,38481,18471214.9,32321448542870 ,1749828,3117671
2020,강서구,43108,41678475.3,70672540177760 ,1695660,3117671
2020,은평구,48576,28724047.3,47377896457480 ,1649416,3117671
2020,관악구,45982,29540926.6,48277609054640 ,1634262,3117671
2020,노원구,20773,35345369,46129494295654 ,1305107,3117671
2020,도봉구,22655,20647848.8,24563831918380 ,1189656,3117671
2020,강북구,40734,23566741.4,26036342633780 ,1104792,3117671
2021,중구,35604,9953188.9,100335769310280 ,10080766,3436565
2021,강남구,32948,37221211.8,325126782410630 ,8734986,3436565
2021,송파구,30920,33925585.4,191510331704170 ,5645012,3436565
2021,용산구,41655,20715551.8,100875638128230 ,4869561,3436565
2021,서초구,34399,46827440.5,214851975217520 ,4588164,3436565
2021,마포구,43391,23809062.3,93330135199830 ,3919942,3436565
2021,영등포구,38986,24506413.1,94465242627630 ,3854715,3436565
2021,종로구,49237,23903475.3,82698433255460 ,3459682,3436565
2021,양천구,22563,17405729.3,60049169764740 ,3449966,3436565
2021,동작구,38828,16351680.3,56372545053670 ,3447508,3436565
2021,성동구,26717,16795149,57424433713030 ,3419108,3436565
2021,강동구,28860,24400477.8,80510643134510 ,3299552,3436565
2021,동대문구,41466,14213392.6,46728123476730 ,3287612,3436565
2021,광진구,32787,17068989.9,51920051413600 ,3041776,3436565
2021,서대문구,41519,17615624.9,48307371649270 ,2742302,3436565
2021,구로구,35428,20036175.3,48570000278860 ,2424115,3436565
2021,금천구,19934,13008175.9,29329866370370 ,2254726,3436565
2021,성북구,55337,24525274.5,54553109397070 ,2224363,3436565
2021,중랑구,38360,18469358.4,35553388000190 ,1924993,3436565
2021,강서구,43066,41547155.9,78905509814420 ,1899180,3436565
2021,은평구,47782,28722712.2,52214458420950 ,1817881,3436565
2021,관악구,45624,29541721.9,53546537731070 ,1812573,3436565
2021,노원구,20564,35357846.9,50327020146098 ,1423362,3436565
2021,도봉구,22635,20650400.3,26551048993510 ,1285740,3436565
2021,강북구,40542,23566706.6,28357254773800 ,1203276,3436565
2022,중구,34912,9953038.1,107144461175950 ,10765001,3827602
2022,강남구,33051,37299714.6,370702559703140 ,9938482,3827602
2022,송파구,30924,33897861.3,215061099181250 ,6344385,3827602
2022,용산구,42880,21223403.5,114102428783080 ,5376255,3827602
2022,서초구,34412,46827779.8,242426610130740 ,5176983,3827602
2022,영등포구,37777,24506525.4,107231738466970 ,4375640,3827602
2022,마포구,42417,23826878.9,103287157703590 ,4334901,3827602
2022,성동구,26729,16818517.2,65801585127900 ,3912449,3827602
2022,동작구,38717,16353193.1,62683914342020 ,3833130,3827602
2022,종로구,49206,23904043.6,89714130330350 ,3753094,3827602
2022,양천구,21795,17405675.3,65284230622560 ,3750744,3827602
2022,동대문구,41330,14214633,52064225899740 ,3662720,3827602
2022,강동구,28999,24398322.1,88862371946740 ,3642151,3827602
2022,광진구,32781,17069065.5,57878162891920 ,3390822,3827602
2022,서대문구,41187,17615756.5,53058054705740 ,3011966,3827602
2022,구로구,35425,20035968.3,53119420255880 ,2651203,3827602
2022,금천구,19911,13008097.2,32694252976050 ,2513377,3827602
2022,성북구,54837,24534519,59837067756600 ,2438893,3827602
2022,중랑구,38292,18469049,39248901053270 ,2125118,3827602
2022,강서구,43020,41515296.8,87151377706660 ,2099259,3827602
2022,관악구,45279,29539777.1,59397965773680 ,2010779,3827602
2022,은평구,46530,28744562.4,57380036140680 ,1996205,3827602
2022,노원구,20288,35378114.7,55125205684100 ,1558173,3827602
2022,도봉구,22609,20650376.8,29169968140330 ,1412563,3827602
2022,강북구,40469,23567027,31032531158670 ,1316778,3827602
