"year","gu_nm","dstrct_nm","area"
2021,"종로구","경관지구",4466199
2021,"종로구","고도지구",1670090
2021,"종로구","방화지구",680397
2021,"종로구","방재지구",0
2021,"종로구","취락지구",54974
2021,"종로구","개발진흥지구",140855
2021,"종로구","특정용도제한지구",0
2021,"종로구","보호지구",0
2021,"종로구","복합용도지구",0
2021,"종로구","조례로정하는지구",0
2021,"중구","경관지구",2295064
2021,"중구","고도지구",1179261
2021,"중구","방화지구",1878122
2021,"중구","방재지구",0
2021,"중구","취락지구",0
2021,"중구","개발진흥지구",519780
2021,"중구","특정용도제한지구",0
2021,"중구","보호지구",0
2021,"중구","복합용도지구",0
2021,"중구","조례로정하는지구",0
2021,"용산구","경관지구",1973808
2021,"용산구","고도지구",1797908
2021,"용산구","방화지구",134573
2021,"용산구","방재지구",0
2021,"용산구","취락지구",0
2021,"용산구","개발진흥지구",0
2021,"용산구","특정용도제한지구",0
2021,"용산구","보호지구",0
2021,"용산구","복합용도지구",0
2021,"용산구","조례로정하는지구",0
2021,"성동구","경관지구",949050
2021,"성동구","고도지구",0
2021,"성동구","방화지구",61800
2021,"성동구","방재지구",0
2021,"성동구","취락지구",0
2021,"성동구","개발진흥지구",539406
2021,"성동구","특정용도제한지구",0
2021,"성동구","보호지구",0
2021,"성동구","복합용도지구",0
2021,"성동구","조례로정하는지구",0
2021,"광진구","경관지구",1096937
2021,"광진구","고도지구",219000
2021,"광진구","방화지구",0
2021,"광진구","방재지구",0
2021,"광진구","취락지구",0
2021,"광진구","개발진흥지구",0
2021,"광진구","특정용도제한지구",0
2021,"광진구","보호지구",0
2021,"광진구","복합용도지구",0
2021,"광진구","조례로정하는지구",0
2021,"동대문구","경관지구",1935310
2021,"동대문구","고도지구",40180
2021,"동대문구","방화지구",165970
2021,"동대문구","방재지구",0
2021,"동대문구","취락지구",0
2021,"동대문구","개발진흥지구",211355
2021,"동대문구","특정용도제한지구",0
2021,"동대문구","보호지구",0
2021,"동대문구","복합용도지구",0
2021,"동대문구","조례로정하는지구",0
2021,"중랑구","경관지구",258457
2021,"중랑구","고도지구",0
2021,"중랑구","방화지구",4976
2021,"중랑구","방재지구",0
2021,"중랑구","취락지구",0
2021,"중랑구","개발진흥지구",292000
2021,"중랑구","특정용도제한지구",0
2021,"중랑구","보호지구",0
2021,"중랑구","복합용도지구",0
2021,"중랑구","조례로정하는지구",0
2021,"성북구","경관지구",3749327
2021,"성북구","고도지구",0
2021,"성북구","방화지구",69049
2021,"성북구","방재지구",0
2021,"성북구","취락지구",4746
2021,"성북구","개발진흥지구",0
2021,"성북구","특정용도제한지구",0
2021,"성북구","보호지구",0
2021,"성북구","복합용도지구",0
2021,"성북구","조례로정하는지구",0
2021,"강북구","경관지구",983924
2021,"강북구","고도지구",2390000
2021,"강북구","방화지구",0
2021,"강북구","방재지구",0
2021,"강북구","취락지구",0
2021,"강북구","개발진흥지구",0
2021,"강북구","특정용도제한지구",0
2021,"강북구","보호지구",0
2021,"강북구","복합용도지구",0
2021,"강북구","조례로정하는지구",0
2021,"도봉구","경관지구",58196
2021,"도봉구","고도지구",1160000
2021,"도봉구","방화지구",0
2021,"도봉구","방재지구",0
2021,"도봉구","취락지구",0
2021,"도봉구","개발진흥지구",0
2021,"도봉구","특정용도제한지구",0
2021,"도봉구","보호지구",0
2021,"도봉구","복합용도지구",0
2021,"도봉구","조례로정하는지구",0
2021,"은평구","경관지구",598860
2021,"은평구","고도지구",0
2021,"은평구","방화지구",2780
2021,"은평구","방재지구",0
2021,"은평구","취락지구",69144
2021,"은평구","개발진흥지구",0
2021,"은평구","특정용도제한지구",0
2021,"은평구","보호지구",0
2021,"은평구","복합용도지구",0
2021,"은평구","조례로정하는지구",0
2021,"서대문구","경관지구",2225781
2021,"서대문구","고도지구",0
2021,"서대문구","방화지구",131372
2021,"서대문구","방재지구",0
2021,"서대문구","취락지구",0
2021,"서대문구","개발진흥지구",0
2021,"서대문구","특정용도제한지구",0
2021,"서대문구","보호지구",0
2021,"서대문구","복합용도지구",0
2021,"서대문구","조례로정하는지구",0
2021,"마포구","경관지구",274668
2021,"마포구","고도지구",0
2021,"마포구","방화지구",158545
2021,"마포구","방재지구",0
2021,"마포구","취락지구",0
2021,"마포구","개발진흥지구",746990
2021,"마포구","특정용도제한지구",0
2021,"마포구","보호지구",0
2021,"마포구","복합용도지구",0
2021,"마포구","조례로정하는지구",0
2021,"양천구","경관지구",771905
2021,"양천구","고도지구",9650860
2021,"양천구","방화지구",0
2021,"양천구","방재지구",0
2021,"양천구","취락지구",0
2021,"양천구","개발진흥지구",0
2021,"양천구","특정용도제한지구",0
2021,"양천구","보호지구",9848657
2021,"양천구","복합용도지구",0
2021,"양천구","조례로정하는지구",0
2021,"강서구","경관지구",136516
2021,"강서구","고도지구",0
2021,"강서구","방화지구",1980
2021,"강서구","방재지구",0
2021,"강서구","취락지구",0
2021,"강서구","개발진흥지구",0
2021,"강서구","특정용도제한지구",0
2021,"강서구","보호지구",42350960
2021,"강서구","복합용도지구",0
2021,"강서구","조례로정하는지구",0
2021,"구로구","경관지구",0
2021,"구로구","고도지구",94130
2021,"구로구","방화지구",1666
2021,"구로구","방재지구",0
2021,"구로구","취락지구",9781
2021,"구로구","개발진흥지구",0
2021,"구로구","특정용도제한지구",0
2021,"구로구","보호지구",0
2021,"구로구","복합용도지구",0
2021,"구로구","조례로정하는지구",0
2021,"금천구","경관지구",0
2021,"금천구","고도지구",0
2021,"금천구","방화지구",4290
2021,"금천구","방재지구",0
2021,"금천구","취락지구",0
2021,"금천구","개발진흥지구",0
2021,"금천구","특정용도제한지구",0
2021,"금천구","보호지구",0
2021,"금천구","복합용도지구",0
2021,"금천구","조례로정하는지구",0
2021,"영등포구","경관지구",3079906
2021,"영등포구","고도지구",1632603
2021,"영등포구","방화지구",79391
2021,"영등포구","방재지구",0
2021,"영등포구","취락지구",0
2021,"영등포구","개발진흥지구",387469
2021,"영등포구","특정용도제한지구",0
2021,"영등포구","보호지구",922500
2021,"영등포구","복합용도지구",0
2021,"영등포구","조례로정하는지구",0
2021,"동작구","경관지구",926966
2021,"동작구","고도지구",224266
2021,"동작구","방화지구",53131
2021,"동작구","방재지구",0
2021,"동작구","취락지구",0
2021,"동작구","개발진흥지구",0
2021,"동작구","특정용도제한지구",0
2021,"동작구","보호지구",0
2021,"동작구","복합용도지구",0
2021,"동작구","조례로정하는지구",0
2021,"관악구","경관지구",0
2021,"관악구","고도지구",0
2021,"관악구","방화지구",2804
2021,"관악구","방재지구",0
2021,"관악구","취락지구",0
2021,"관악구","개발진흥지구",0
2021,"관악구","특정용도제한지구",0
2021,"관악구","보호지구",0
2021,"관악구","복합용도지구",0
2021,"관악구","조례로정하는지구",0
2021,"서초구","경관지구",1324150
2021,"서초구","고도지구",113700
2021,"서초구","방화지구",0
2021,"서초구","방재지구",0
2021,"서초구","취락지구",117428
2021,"서초구","개발진흥지구",59822
2021,"서초구","특정용도제한지구",0
2021,"서초구","보호지구",0
2021,"서초구","복합용도지구",0
2021,"서초구","조례로정하는지구",0
2021,"강남구","경관지구",1554545
2021,"강남구","고도지구",0
2021,"강남구","방화지구",0
2021,"강남구","방재지구",0
2021,"강남구","취락지구",79755
2021,"강남구","개발진흥지구",0
2021,"강남구","특정용도제한지구",0
2021,"강남구","보호지구",0
2021,"강남구","복합용도지구",0
2021,"강남구","조례로정하는지구",0
2021,"송파구","경관지구",1533845
2021,"송파구","고도지구",0
2021,"송파구","방화지구",0
2021,"송파구","방재지구",0
2021,"송파구","취락지구",0
2021,"송파구","개발진흥지구",0
2021,"송파구","특정용도제한지구",0
2021,"송파구","보호지구",0
2021,"송파구","복합용도지구",0
2021,"송파구","조례로정하는지구",0
2021,"강동구","경관지구",994345
2021,"강동구","고도지구",0
2021,"강동구","방화지구",0
2021,"강동구","방재지구",0
2021,"강동구","취락지구",119820
2021,"강동구","개발진흥지구",0
2021,"강동구","특정용도제한지구",0
2021,"강동구","보호지구",0
2021,"강동구","복합용도지구",0
2021,"강동구","조례로정하는지구",0
2021,"노원구","경관지구",0
2021,"노원구","고도지구",0
2021,"노원구","방화지구",0
2021,"노원구","방재지구",0
2021,"노원구","취락지구",0
2021,"노원구","개발진흥지구",0
2021,"노원구","특정용도제한지구",0
2021,"노원구","보호지구",0
2021,"노원구","복합용도지구",0
2021,"노원구","조례로정하는지구",0
